,Investors,Primary Investor Type,Other Investor Types,# of Investment Professionals,HQ State/Province,HQ Country/Territory,HQ Global Region,HQ Global Sub Region,Investor Status,Last Updated Date,Ownership Status,Company Financing Status,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,SIC Code Descriptions,SIC Group Descriptions,SIC Sector Descriptions,Revenue,Total Assets,Net Income,Enterprise Value,EBITDA,EBIT,Market Cap,Net Debt,Free Cash Flow,Investments,Exits,Active Portfolio,Investments in the last 7 days,Investments in the last 6 months,Investments in the last 12 months,Investments in the last 2 years,Investments in the last 5 years,Total Investments,Total Exits,Total Active Portfolio,Total Investments in the last 7 days,Total Investments in the last 6 months,Total Investments in the last 12 months,Total Investments in the last 2 years,Total Investments in the last 5 years,Last Investment Date,Last Investment Size,Last Investment Size Status,Last Investment Valuation,Last Investment Valuation Status,Last Investment Type,Last Investment Type 2,Last Investment Type 3,Last Investment Class,Last Investment Debt,Last Investment Debt Size,Last Investment Debt Date,Last Investment Status,AUM,Dry Powder,Trade Association,Total # of Hedge Funds,Total # of Credit,Total # of Equity,Total # of Macro,Total # of Event Driven,Total # of Relative Value,Total # of Risk Parity,Total # of Risk Premia,Total # of Fund of Funds,Total # of Other,Total Hedge Fund NAV,Total NAV Credit,Total NAV Equity,Total NAV Macro,Total NAV Event Driven,Total NAV Relative Value,Total NAV Risk Parity,Total NAV Risk Premia,Total NAV Fund of Funds,Total NAV Other,# Funds Open,# Funds Closed,# Funds Closed in the last 6 months,# Funds Closed in the last 12 months,# Funds Closed in the last 2 years,# Funds Closed in the last 5 years,Most Likely Fundraising,Min Fund Size,Max Fund Size,Median Fund Size,Total Funds Open,Total Funds Closed,Total Funds Closed in the last 6 months,Total Funds Closed in the last 12 months,Total Funds Closed in the last 2 years,Total Funds Closed in the last 5 years,Last Closed Fund Vintage,Last Closed Fund Size,Last Closed Fund Type,Last Closed Fund Close Date,Last Closed Fund Open Date,Preferred Industry,Preferred Verticals,Preferred Geography,Preferred Investment Types,Real Asset Preferences,Impact Category Preferences,Other Stated Preferences,Preferred Investment Amount,Preferred Investment Amount Min,Preferred Investment Amount Max,Preferred Deal Size,Preferred Deal Size Min,Preferred Deal Size Max,Preferred Company Valuation,Preferred Company Valuation Min,Preferred Company Valuation Max,Preferred EBITDA,Preferred EBITDA Min,Preferred EBITDA Max,Preferred EBIT,Preferred EBIT Min,Preferred EBIT Max,Preferred Revenue,Preferred Revenue Min,Preferred Revenue Max,Preferred Investment Horizon,Latest Note,Latest Note - Author,Median Quartile,Number of Funds,1 (Top Quartile),2 (Upper-Mid Quartile),3 (Lower-Mid Quartile),4 (Bottom Quartile),today,days_diff,Last Investment Delta,Last Investment Size filled,Recency Score,Frequency Score,Monetary Score,RFM Score,Segment,Recency,Frequency,Monetary
10,Investor 11,Venture Capital,,5.0,,India,Asia,South Asia,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,0.63,,,,,,0.0,,27,5.0,8.0,,,,,2,27,5.0,8.0,,,,,2,21-Jul-22,7.09,Actual,40.01,Actual,Early Stage VC,Series A,,Venture Capital,,,21-Jul-22,Completed,700.0,,"Alberta Venture Capital Association, Canadian Venture Capital and Private Equity",,,,,,,,,,,,,,,,,,,,,,2.0,,,,,Yes,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,366 days,366,7.09,3,4,4,344,Loyal Investors,366,27,7.09
11,Investor 12,Angel (individual),,,New York,United States,Americas,North America,Actively Seeking New Investments,13-Jun-23,,,,,,,,,,,,,,,,,,,,,4,,4.0,,,,,2,4,,4.0,,,,,2,10-May-23,4.7,Actual,,,Early Stage VC,,,Venture Capital,,,10-May-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,"Artificial Intelligence & Machine Learning, Climate Tech, Internet of Things, Mobility Tech, Real Estate Technology, Robotics and Drones",,"Early Stage VC, Later Stage VC, Seed Round",,Climate,"Prefers minority stake, Seeks Impact investments, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,73 days,73,4.7,5,2,3,523,Potential Loyalists,73,4,4.7
12,Investor 13,Angel Group,,,New York,United States,Americas,North America,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,2,,2.0,,,,,1,2,,2.0,,,,,1,31-Mar-22,1.0,Actual,,,Later Stage VC,,,Venture Capital,,,31-Mar-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,478 days,478,1.0,2,1,1,211,Hibernating,478,2,1.0
13,Investor 14,Angel (individual),,,,Germany,Europe,Western Europe,,12-Jun-23,,,,,,,,,,,,,,,,,,,,,3,,3.0,,,,1.0,3,3,,3.0,,,,1.0,3,1-Jul-21,1.9,Actual,9.3,Actual,Seed Round,Seed Round,,Venture Capital,Other - $0.10M,0.1,1-Jul-21,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2019.0,15.0,Venture Capital - Early Stage,31-Oct-20,1-Jan-19,,,,,,,,,,,,,,,,,,,,,,,,,,1.00 - 3.00,,,,,,,,,2023-07-22,751 days,751,1.9,1,2,2,122,Hibernating,751,3,1.9
14,Investor 15,Angel (individual),,,New York,United States,Americas,North America,Actively Seeking New Investments,8-Jun-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,,1,1,,1.0,,,,,1,18-Oct-22,10.0,Actual,,,Later Stage VC,Series A,,Venture Capital,,,18-Oct-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2010.0,,Venture - General,31-Dec-10,8-Feb-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,277 days,277,10.0,3,1,4,314,About to Sleep,277,1,10.0
15,Investor 16,Angel (individual),,,California,United States,Americas,North America,,7-Jun-23,,,,,,,,,,,,,,,,,,,,,91,7.0,75.0,,8.0,18.0,50.0,88,91,7.0,75.0,,8.0,18.0,50.0,88,5-Jun-23,15.0,Actual,,,Early Stage VC,Series A,,Venture Capital,,,5-Jun-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2023.0,0.06,Venture - General,7-Mar-23,2-Feb-23,"Communications and Networking, IT Services, Software",TMT,Europe,"Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,47 days,47,15.0,5,5,4,554,Champions,47,91,15.0
16,Investor 17,Venture Capital,,4.0,,,,,Actively Seeking New Investments,13-Jun-23,,,,,,,,,,,,,,,,,,,,,23,,21.0,,3.0,5.0,16.0,22,23,,21.0,,3.0,5.0,16.0,22,11-May-22,28.0,Actual,168.0,Actual,Later Stage VC,Series B,,Venture Capital,,,11-May-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,"SaaS, TMT",Europe,"Early Stage VC, Later Stage VC, Seed Round",,Biodiversity & Ecosystems,"Prefers minority stake, Seeks ESG investments, Seeks Impact investments, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,437 days,437,28.0,2,4,5,245,At Risk,437,23,28.0
17,Investor 18,Angel (individual),,,,Brazil,Americas,South America,,19-May-23,,,,,,,,,,,,,,,,,,,,,4,1.0,3.0,,,,2.0,4,4,1.0,3.0,,,,2.0,4,14-Aug-19,1.7,Actual,,,Seed Round,Seed Round,,Venture Capital,,,14-Aug-19,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,1438 days,1438,1.7,1,2,2,122,Hibernating,1438,4,1.7
18,Investor 19,Angel (individual),,,California,United States,Americas,North America,Actively Seeking New Investments,13-Jun-23,,,,,,,,,,,,,,,,,,,,,8,1.0,7.0,,,1.0,6.0,7,8,1.0,7.0,,,1.0,6.0,7,1-Aug-22,,,,,Early Stage VC,,,Venture Capital,,,1-Aug-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,355 days,355,0.0,3,3,1,331,Need Attention,355,8,0.0
19,Investor 20,Corporate Venture Capital,Growth/Expansion,8.0,New York,United States,Americas,North America,,19-May-23,,,,,,,,,,,,,,,,,,,,,64,2.0,43.0,,7.0,15.0,35.0,56,64,2.0,43.0,,7.0,15.0,35.0,56,15-Feb-23,73.43,Actual,373.43,Actual,Later Stage VC,Series B2,,Venture Capital,Loan - $35.00M,35.0,15-Feb-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Yes,,,,1.0,,,,,,,,,,,"Consulting Services (B2B), Financial Software, Other Information Technology, Other Software","Cryptocurrency/Blockchain, FinTech",,"Early Stage VC, Later Stage VC, Merger/Acquisition",,,Prefers majority stake,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,157 days,157,73.43,4,5,5,455,Loyal Investors,157,64,73.43
20,Investor 21,Angel (individual),,,California,United States,Americas,North America,,12-Jun-23,,,,,,,,,,,,,,,,,,,,,25,5.0,19.0,,,4.0,9.0,17,25,5.0,19.0,,,4.0,9.0,17,25-Aug-20,0.13,Actual,,,Seed Round,Seed Round,,Venture Capital,,,25-Aug-20,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,0.02 - 3.31,0.02,3.31,,,,,,,,,,,,,66.19,66.19,,,,,,,,,,,2023-07-22,1061 days,1061,0.13,1,4,1,141,At Risk,1061,25,0.13
21,Investor 22,Angel (individual),,,Texas,United States,Americas,North America,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,99,1.0,95.0,1.0,6.0,23.0,78.0,97,99,1.0,95.0,1.0,6.0,23.0,78.0,97,7-Jun-23,13.56,Actual,72.81,Actual,Later Stage VC,Series A,,Venture Capital,,,7-Jun-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,"Mobile, TMT",,"Accelerator/Incubator, Early Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,45 days,45,13.56,5,5,4,554,Champions,45,99,13.56
22,Investor 23,Angel (individual),,,,,,,,7-Jun-23,,,,,,,,,,,,,,,,,,,,,3,,3.0,,,1.0,2.0,3,3,,3.0,,,1.0,2.0,3,19-Apr-23,4.5,Actual,,,Seed Round,Seed Round,,Venture Capital,,,19-Apr-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,0.01 - 0.25,0.01,0.25,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,94 days,94,4.5,5,2,3,523,Potential Loyalists,94,3,4.5
23,Investor 24,Angel (individual),,,California,United States,Americas,North America,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,3,,3.0,,,,,2,3,,3.0,,,,,2,30-Mar-23,493.0,Actual,1400.0,Actual,Later Stage VC,Series C,,Venture Capital,,,30-Mar-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Business Products and Services (B2B), Financial Services, Healthcare, Software","3D Printing, AdTech, Artificial Intelligence & Machine Learning, B2B Payments, Big Data, CloudTech & DevOps, Cryptocurrency/Blockchain, Cybersecurity, Digital Health, E-Commerce, EdTech, FinTech, HealthTech, HR Tech, Internet of Things, SaaS, TMT",,"Early Stage VC, Later Stage VC",,,,5,5.0,,25,25.0,,100,100.0,,,,,,,,135,135.0,,,,,,,,,,,2023-07-22,114 days,114,493.0,4,2,5,425,Potential Loyalists,114,3,493.0
24,Investor 25,Angel (individual),,,California,United States,Americas,North America,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,18,1.0,16.0,,,1.0,7.0,16,18,1.0,16.0,,,1.0,7.0,16,31-Dec-20,0.73,Actual,10.72,Actual,Early Stage VC,Series A,,Venture Capital,,,31-Dec-20,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Agriculture, Commercial Products, Commercial Services, Commercial Transportation, Consumer Products and Services (B2C), Other Business Products and Services, Pharmaceuticals and Biotechnology",,,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",0.25 - 5.00,0.25,5.0,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,2023-07-22,933 days,933,0.73,1,4,1,141,At Risk,933,18,0.73
25,Investor 26,Angel (individual),,,Florida,United States,Americas,North America,,1-Jun-23,,,,,,,,,,,,,,,,,,,,,14,2.0,11.0,,,2.0,4.0,10,14,2.0,11.0,,,2.0,4.0,10,11-Oct-19,7.0,Actual,12.48,Actual,Seed Round,Seed Round,,Venture Capital,Other - $2.00M,2.0,11-Oct-19,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,1380 days,1380,7.0,1,3,3,133,At Risk,1380,14,7.0
26,Investor 27,Venture Capital,,2.0,England,United Kingdom,Europe,Western Europe,,24-May-23,,,,,,,,,,,,,,,,,,,,,31,2.0,27.0,,,1.0,19.0,31,31,2.0,27.0,,,1.0,19.0,31,9-May-23,12.0,Actual,,,Early Stage VC,,,Venture Capital,,,9-May-23,Completed,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,74 days,74,12.0,5,4,4,544,Champions,74,31,12.0
27,Investor 28,Angel (individual),,,California,United States,Americas,North America,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,12,2.0,10.0,,,2.0,9.0,10,12,2.0,10.0,,,2.0,9.0,10,12-Nov-21,0.5,Actual,,,Seed Round,Seed Round,,Venture Capital,,,12-Nov-21,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,"SaaS, TMT","Europe, North America","Buyout/LBO, Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",,,"Prefers minority stake, Will syndicate",20.00 - 100.00,20.0,100.0,,,,,,,,,,,,,10.00 - 500.00,10.0,500.0,,,,,,,,,,2023-07-22,617 days,617,0.5,2,3,1,231,At Risk,617,12,0.5
28,Investor 29,Asset Manager,,4.0,California,United States,Americas,North America,Actively Seeking New Investments,8-Jun-23,Privately Held (no backing),Corporation,Financial Services,Capital Markets/Institutions,Asset Management,Asset Management*,,"asset management, etf fund, investment management, investment solution, mutual fund investment",,,,,,,,,,,,,3,,2.0,,,,2.0,3,3,,2.0,,,,2.0,3,1-Mar-21,12.27,Actual,62.27,Actual,Later Stage VC,Series A1,,Venture Capital,,,1-Mar-21,Completed,137.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,"EdTech, HR Tech",,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,873 days,873,12.27,1,2,4,124,Hibernating,873,3,12.27
29,Investor 30,Angel (individual),,,California,United States,Americas,North America,,7-Oct-21,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,,1,1,,1.0,,,,,1,6-Jun-23,45.0,Actual,2000.0,Actual,Later Stage VC,Series C,,Venture Capital,,,6-Jun-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Financial Services, Information Technology","Cryptocurrency/Blockchain, E-Commerce, FinTech, Gaming, Marketing Tech, SaaS",,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,46 days,46,45.0,5,1,5,515,New Investors,46,1,45.0
30,Investor 31,Angel (individual),,,New South Wales,Australia,Oceania,Oceania,Actively Seeking New Investments,3-Jun-23,,,,,,,,,,,,,,,,,,,,,6,3.0,4.0,,2.0,2.0,2.0,5,6,3.0,4.0,,2.0,2.0,2.0,5,10-Mar-22,114.0,Actual,69.0,Actual,Later Stage VC,Series A,,Venture Capital,Loan - $100.00M,100.0,10-Mar-22,Completed,15900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Consumer Products and Services (B2C), Energy, Financial Services, Information Technology","Big Data, CleanTech, Climate Tech, FinTech, FoodTech, HR Tech, InsurTech, Internet of Things, Micro-Mobility, Mobile, Mobility Tech, SaaS, Supply Chain Tech, TMT",India,"Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",,"Climate, Energy, Health","Invests in MWBE (Minority and Women-owned), Prefers minority stake, Seeks ESG investments, Seeks Impact investments, Will syndicate",1.5,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,499 days,499,114.0,2,2,5,225,Hibernating,499,6,114.0
31,Investor 32,Angel (individual),,,New York,United States,Americas,North America,Actively Seeking New Investments,8-Jun-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,,1,1,,1.0,,,,,1,29-Aug-22,1.0,Estimated,,,Seed Round,Seed Round,,Venture Capital,,,29-Aug-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,327 days,327,1.0,3,1,1,311,About to Sleep,327,1,1.0
